Name,Address,Lat,Lon,Category,Reviews
Cactus Restaurants,"535 Bellevue Sq Bellevue, WA 98004",47.6050328,-122.2013913,mexican,223
Viva Jalisco Mexican Restaurant,"1715 228th St SE Bothell, WA 98021",47.7915226,-122.2105673,mexican,139
Cactus Restaurants,"350 Terry Ave N South Lake Union Seattle, WA 98109",47.6214628,-122.3371285,mexican,331
El Toreador Mexican Restaurant,"7845 Leary Way NE Redmond, WA 98052",47.6736759,-122.1233115,mexican,159
Cocina Esperanza,"3127 NW 85th St Ballard Seattle, WA 98117",47.6904269,-122.397965,mexican,87
El Borracho Ballard,"5465 Leary Ave NW Ballard Seattle, WA 98107",47.6683245,-122.3841208,mexican,109
Mr Villa Mexican Restaurant,"8064 Lake City Way NE Wedgwood Seattle, WA 98115",47.687807,-122.3114774,mexican,198
5 Hermanos,"3901 NE 4th St Renton, WA 98056",47.4881633,-122.1653068,mexican,41
El Sombrero Family Mexican Restaurant,"4868 Rainier Ave S Columbia City Seattle, WA 98118",47.5581166,-122.2848631,mexican,130
La Costa Restaurant,"206 SW 152nd St Burien, WA 98166",47.4675417,-122.336736,mexican,142
Cactus Restaurants,"4220 E Madison St Madison Park Seattle, WA 98112",47.6361863,-122.277934,mexican,339
Ooba Tooba Mex Grill,"15802 NE 83rd St Redmond, WA 98052",47.6768588,-122.1300511,mexican,213
Ooba Tooba Mex Grill,"555 108th Ave NE Bellevue, WA 98004",47.6154892,-122.1966936,mexican,129
El Camión,"5314 15th Ave NW Ballard Seattle, WA 98107",47.6676083,-122.3755978,mexican,469
El Camino,"607 N 35th St Fremont Seattle, WA 98103",47.6504649,-122.3509169,mexican,270
TNT Taqueria,"2114 N 45th St Wallingford Seattle, WA 98103",47.6615108,-122.332926,mexican,171
Cactus Restaurants,"2820 Alki Ave SW Alki Seattle, WA 98116",47.5782446,-122.4129027,mexican,441
Josefina's Mexican Grill,"2818 Thorndyke Ave W Magnolia Seattle, WA 98199",47.6448091,-122.3832049,mexican,89
Taquería Tequila Authentic Mexican Food,"301 NW 85th St Phinney Ridge Seattle, WA 98117",47.6903298,-122.3609284,mexican,190
La Parrilla Mexicana,"626 SW 152nd St Burien, WA 98166",47.4670532,-122.3430481,mexican,7
Rancho Bravo Tacos,"211 NE 45th St Wallingford Seattle, WA 98105",47.6611724,-122.3266838,mexican,366
Gordito's Healthy Mexican Food,"213 N 85th St Phinney Ridge Seattle, WA 98103",47.690418,-122.3559735,mexican,544
